,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
52,male,group C,some college,standard,none,0.3561643835616438,0.2112676056338028,0.2054794520547945
53,male,group D,high school,standard,none,0.8356164383561644,0.6901408450704225,0.6575342465753424
54,female,group C,some high school,free/reduced,completed,0.6027397260273972,0.7746478873239436,0.821917808219178
55,female,group C,high school,free/reduced,none,0.0821917808219178,0.16901408450704225,0.2191780821917808
56,female,group E,associate's degree,standard,completed,0.7534246575342466,0.7887323943661971,0.8082191780821918
57,male,group D,associate's degree,standard,none,0.3424657534246575,0.36619718309859156,0.3013698630136986
58,male,group D,some college,standard,completed,0.4246575342465753,0.4225352112676056,0.4246575342465753
60,male,group E,bachelor's degree,free/reduced,completed,0.7123287671232876,0.6338028169014085,0.6164383561643836
61,male,group A,some high school,free/reduced,none,0.1643835616438356,0.14084507042253522,0.0958904109589041
62,male,group A,associate's degree,free/reduced,none,0.4794520547945205,0.4507042253521127,0.3835616438356164
63,female,group C,associate's degree,standard,none,0.5753424657534246,0.7183098591549296,0.6027397260273972
64,female,group D,some high school,standard,none,0.4383561643835616,0.4084507042253521,0.4383561643835616
65,male,group B,some high school,standard,none,0.547945205479452,0.49295774647887325,0.4657534246575342
66,male,group D,some high school,free/reduced,none,0.2465753424657534,0.11267605633802817,0.136986301369863
67,female,group C,some college,standard,none,0.4520547945205479,0.6056338028169014,0.6438356164383562
68,male,group B,associate's degree,free/reduced,none,0.4657534246575342,0.4084507042253521,0.3972602739726027
69,female,group C,associate's degree,standard,none,0.1643835616438356,0.49295774647887325,0.410958904109589
70,female,group D,some college,free/reduced,completed,0.4246575342465753,0.4788732394366197,0.6301369863013698
71,male,group D,some college,standard,completed,0.4931506849315068,0.36619718309859156,0.4931506849315068
72,female,group A,associate's degree,free/reduced,none,0.1917808219178082,0.30985915492957744,0.2876712328767123
73,male,group C,some high school,free/reduced,none,0.4657534246575342,0.39436619718309857,0.3972602739726027
74,male,group C,some high school,standard,none,0.3013698630136986,0.28169014084507044,0.1917808219178082
75,male,group B,associate's degree,free/reduced,none,0.2328767123287671,0.16901408450704225,0.1506849315068493
77,male,group A,bachelor's degree,standard,completed,0.726027397260274,0.6901408450704225,0.7397260273972602
78,female,group D,some high school,standard,completed,0.4657534246575342,0.6338028169014085,0.6164383561643836
79,female,group E,master's degree,standard,none,0.4794520547945205,0.5492957746478874,0.5616438356164384
80,female,group B,associate's degree,standard,none,0.273972602739726,0.28169014084507044,0.3150684931506849
81,male,group B,high school,free/reduced,none,0.3013698630136986,0.22535211267605634,0.2465753424657534
82,male,group A,some college,free/reduced,completed,0.3150684931506849,0.2535211267605634,0.3698630136986301
83,male,group E,associate's degree,standard,none,0.6164383561643836,0.49295774647887325,0.4931506849315068
84,male,group D,high school,free/reduced,none,0.2054794520547945,0.14084507042253522,0.0958904109589041
85,female,group C,some college,standard,none,0.6301369863013698,0.7183098591549296,0.7534246575342466
86,female,group C,some college,free/reduced,none,0.6712328767123288,0.7605633802816901,0.8356164383561644
87,female,group D,associate's degree,standard,none,0.6027397260273972,0.5915492957746479,0.6438356164383562
88,female,group A,some college,standard,none,0.4246575342465753,0.5774647887323944,0.547945205479452
89,female,group D,some high school,standard,none,0.6301369863013698,0.8028169014084507,0.7534246575342466
90,female,group C,bachelor's degree,standard,none,0.5205479452054794,0.6056338028169014,0.6438356164383562
91,male,group C,high school,free/reduced,none,0.0,0.07042253521126761,0.1232876712328767
92,male,group C,high school,standard,none,0.6027397260273972,0.704225352112676,0.6027397260273972
93,male,group C,associate's degree,free/reduced,completed,0.2191780821917808,0.22535211267605634,0.3150684931506849
94,female,group B,some college,standard,none,0.7123287671232876,0.8028169014084507,0.8904109589041096
95,male,group C,associate's degree,free/reduced,completed,0.6986301369863014,0.7323943661971831,0.7534246575342466
96,male,group B,some high school,standard,completed,0.5205479452054794,0.5211267605633803,0.4794520547945205
97,female,group E,some college,standard,completed,0.4931506849315068,0.6056338028169014,0.589041095890411
98,female,group D,some college,free/reduced,none,0.4246575342465753,0.5352112676056338,0.4794520547945205
99,female,group D,bachelor's degree,standard,none,0.5205479452054794,0.5352112676056338,0.4794520547945205
100,male,group B,some college,standard,none,0.7123287671232876,0.5352112676056338,0.547945205479452
101,male,group D,bachelor's degree,standard,completed,0.5616438356164384,0.6338028169014085,0.6438356164383562
102,female,group D,associate's degree,standard,none,0.7945205479452054,0.8732394366197183,0.8493150684931506
103,male,group B,high school,standard,completed,0.4520547945205479,0.2112676056338028,0.273972602739726
104,male,group C,some college,standard,completed,0.9726027397260274,0.8028169014084507,0.863013698630137
105,female,group C,some college,standard,none,0.4246575342465753,0.5352112676056338,0.6164383561643836
106,female,group D,master's degree,standard,none,0.821917808219178,1.0,1.0
107,male,group E,associate's degree,standard,completed,0.5342465753424658,0.4788732394366197,0.5068493150684932
108,female,group B,associate's degree,free/reduced,none,0.3424657534246575,0.6619718309859155,0.589041095890411
109,female,group B,some high school,standard,none,0.589041095890411,0.49295774647887325,0.6164383561643836
110,female,group D,associate's degree,free/reduced,completed,0.684931506849315,0.8450704225352113,0.9726027397260274
111,male,group C,high school,standard,none,0.4794520547945205,0.36619718309859156,0.3013698630136986
112,male,group A,associate's degree,standard,none,0.3698630136986301,0.3380281690140845,0.273972602739726
113,female,group D,some college,standard,none,0.3287671232876712,0.4084507042253521,0.3698630136986301
114,female,group E,bachelor's degree,standard,completed,0.9863013698630136,1.0,1.0
115,male,group C,high school,standard,none,0.7808219178082192,0.676056338028169,0.6438356164383562
116,female,group B,bachelor's degree,free/reduced,none,0.6575342465753424,0.7887323943661971,0.7534246575342466
117,female,group D,bachelor's degree,standard,none,0.6986301369863014,0.7464788732394366,0.7123287671232876
118,female,group D,some high school,standard,none,0.3287671232876712,0.4788732394366197,0.4657534246575342
119,female,group C,some college,standard,none,0.3835616438356164,0.5633802816901409,0.5205479452054794
120,female,group C,bachelor's degree,standard,completed,0.7123287671232876,0.8873239436619719,0.8493150684931506
121,male,group B,associate's degree,standard,completed,0.8767123287671232,0.8450704225352113,0.8904109589041096
122,female,group C,some college,standard,completed,0.8356164383561644,0.9014084507042254,0.9041095890410958
123,male,group D,high school,free/reduced,none,0.4931506849315068,0.39436619718309857,0.3972602739726027
124,male,group E,some college,standard,none,0.7671232876712328,0.7183098591549296,0.6301369863013698
125,female,group B,high school,standard,none,0.821917808219178,0.9295774647887324,0.8082191780821918
126,male,group B,some high school,standard,none,0.6164383561643836,0.5492957746478874,0.547945205479452
127,male,group D,some college,standard,completed,0.5205479452054794,0.676056338028169,0.6438356164383562
128,male,group D,master's degree,standard,none,0.7534246575342466,0.7464788732394366,0.6438356164383562
129,female,group A,bachelor's degree,standard,none,0.3287671232876712,0.28169014084507044,0.3287671232876712
130,male,group D,master's degree,standard,none,0.8493150684931506,0.7746478873239436,0.7534246575342466
131,male,group C,some high school,free/reduced,completed,0.3561643835616438,0.11267605633802817,0.1780821917808219
132,male,group E,some college,free/reduced,completed,0.821917808219178,0.6338028169014085,0.589041095890411
133,female,group C,some college,standard,completed,0.6575342465753424,0.7323943661971831,0.7808219178082192
134,male,group D,bachelor's degree,free/reduced,completed,0.6438356164383562,0.704225352112676,0.6575342465753424
135,male,group C,bachelor's degree,standard,none,0.4246575342465753,0.36619718309859156,0.2876712328767123
136,male,group B,some high school,standard,completed,0.3287671232876712,0.352112676056338,0.1917808219178082
137,male,group E,high school,standard,none,0.589041095890411,0.36619718309859156,0.3972602739726027
138,female,group C,associate's degree,standard,none,0.4383561643835616,0.5211267605633803,0.547945205479452
139,male,group D,some college,standard,completed,0.6027397260273972,0.4507042253521127,0.5753424657534246
140,female,group D,some high school,standard,none,0.6712328767123288,0.6056338028169014,0.6027397260273972
141,female,group C,some college,free/reduced,none,0.4383561643835616,0.4647887323943662,0.5068493150684932
142,female,group E,some college,free/reduced,completed,0.2054794520547945,0.36619718309859156,0.3698630136986301
143,male,group A,high school,standard,none,0.410958904109589,0.19718309859154928,0.273972602739726
144,male,group D,some college,standard,none,0.8356164383561644,0.6197183098591549,0.6986301369863014
146,male,group B,some high school,standard,none,0.8356164383561644,0.7746478873239436,0.6575342465753424
147,male,group C,associate's degree,free/reduced,none,0.6301369863013698,0.5492957746478874,0.5342465753424658
148,female,group D,bachelor's degree,standard,completed,0.5616438356164384,0.647887323943662,0.7397260273972602
149,male,group E,associate's degree,free/reduced,completed,1.0,1.0,0.9041095890410958
150,male,group A,some high school,standard,completed,0.4794520547945205,0.5352112676056338,0.5753424657534246
151,male,group A,bachelor's degree,standard,none,0.684931506849315,0.5352112676056338,0.5616438356164384
152,female,group B,associate's degree,standard,completed,0.4383561643835616,0.5774647887323944,0.5342465753424658
153,male,group D,bachelor's degree,standard,none,0.3698630136986301,0.28169014084507044,0.273972602739726
154,male,group D,some high school,standard,none,0.4794520547945205,0.5352112676056338,0.4657534246575342
155,female,group C,some college,standard,completed,0.589041095890411,0.8450704225352113,0.8356164383561644
156,female,group E,high school,free/reduced,completed,0.5342465753424658,0.6338028169014085,0.6986301369863014
157,male,group B,some college,free/reduced,none,0.4520547945205479,0.43661971830985913,0.4520547945205479
158,female,group B,associate's degree,standard,completed,0.4657534246575342,0.8028169014084507,0.821917808219178
159,male,group D,associate's degree,free/reduced,none,0.5342465753424658,0.4647887323943662,0.5068493150684932
160,male,group B,associate's degree,free/reduced,completed,0.7534246575342466,0.6901408450704225,0.6438356164383562
161,female,group E,some college,free/reduced,completed,0.6575342465753424,0.8309859154929577,0.7945205479452054
162,male,group B,master's degree,free/reduced,none,0.3013698630136986,0.3380281690140845,0.3424657534246575
163,male,group C,high school,standard,none,0.3424657534246575,0.3380281690140845,0.3013698630136986
164,female,group E,master's degree,standard,none,0.7397260273972602,0.8873239436619719,0.8767123287671232
165,female,group C,bachelor's degree,standard,completed,0.9452054794520548,1.0,1.0
166,male,group C,high school,free/reduced,completed,0.3561643835616438,0.30985915492957744,0.3287671232876712
167,female,group B,master's degree,free/reduced,completed,0.4246575342465753,0.6619718309859155,0.6986301369863014
168,female,group B,high school,standard,completed,0.5616438356164384,0.7605633802816901,0.6986301369863014
169,female,group C,some college,free/reduced,completed,0.547945205479452,0.647887323943662,0.589041095890411
170,male,group A,high school,standard,completed,0.6164383561643836,0.6197183098591549,0.6438356164383562
171,male,group E,some high school,standard,none,0.9178082191780822,0.8309859154929577,0.6986301369863014
172,female,group D,some college,standard,none,0.7123287671232876,0.8028169014084507,0.7397260273972602
173,female,group C,associate's degree,standard,none,0.4931506849315068,0.5352112676056338,0.589041095890411
174,female,group C,bachelor's degree,free/reduced,completed,0.2191780821917808,0.30985915492957744,0.3698630136986301
175,female,group C,master's degree,standard,completed,0.7397260273972602,0.8732394366197183,0.821917808219178
176,female,group B,high school,free/reduced,completed,0.2602739726027397,0.352112676056338,0.4246575342465753
177,female,group C,associate's degree,standard,completed,0.6027397260273972,0.676056338028169,0.684931506849315
178,female,group B,master's degree,free/reduced,completed,0.3424657534246575,0.5774647887323944,0.4794520547945205
179,female,group D,some high school,standard,completed,0.958904109589041,1.0,1.0
180,male,group C,master's degree,free/reduced,completed,0.4794520547945205,0.5492957746478874,0.6575342465753424
181,female,group C,some college,free/reduced,none,0.2602739726027397,0.49295774647887325,0.5342465753424658
182,female,group E,high school,standard,none,0.3150684931506849,0.29577464788732394,0.273972602739726
183,female,group D,associate's degree,standard,none,0.5205479452054794,0.5633802816901409,0.589041095890411
184,male,group C,some high school,free/reduced,completed,0.2465753424657534,0.323943661971831,0.3013698630136986
185,male,group C,associate's degree,free/reduced,completed,0.5205479452054794,0.5352112676056338,0.5205479452054794
186,male,group E,high school,standard,none,0.726027397260274,0.6619718309859155,0.5205479452054794
187,male,group D,some high school,standard,completed,0.4794520547945205,0.5211267605633803,0.5616438356164384
188,male,group B,some high school,free/reduced,none,0.2876712328767123,0.323943661971831,0.2465753424657534
189,female,group C,bachelor's degree,standard,none,0.684931506849315,0.8309859154929577,0.821917808219178
190,female,group E,associate's degree,standard,none,0.5342465753424658,0.5070422535211268,0.5753424657534246
191,male,group D,some college,standard,completed,0.6712328767123288,0.7605633802816901,0.7123287671232876
192,female,group B,some high school,standard,none,0.4794520547945205,0.49295774647887325,0.5342465753424658
193,male,group D,some college,standard,completed,0.684931506849315,0.4647887323943662,0.4794520547945205
194,female,group C,master's degree,standard,completed,0.5753424657534246,0.7746478873239436,0.7945205479452054
195,male,group D,associate's degree,standard,none,0.4657534246575342,0.36619718309859156,0.3424657534246575
196,male,group C,some high school,free/reduced,completed,0.4383561643835616,0.5633802816901409,0.5205479452054794
197,male,group E,high school,free/reduced,none,0.3835616438356164,0.38028169014084506,0.3287671232876712
198,female,group B,some college,free/reduced,none,0.2465753424657534,0.3380281690140845,0.3835616438356164
199,female,group B,bachelor's degree,free/reduced,none,0.6986301369863014,0.704225352112676,0.6712328767123288
200,female,group C,associate's degree,standard,completed,0.547945205479452,0.7746478873239436,0.8082191780821918
201,female,group D,some college,free/reduced,none,0.5205479452054794,0.7323943661971831,0.684931506849315
202,male,group C,associate's degree,standard,none,0.5753424657534246,0.676056338028169,0.5753424657534246
203,female,group B,associate's degree,standard,none,0.410958904109589,0.5633802816901409,0.5616438356164384
204,male,group C,some college,standard,none,0.4383561643835616,0.16901408450704225,0.2054794520547945
205,male,group D,some high school,standard,completed,0.6438356164383562,0.5915492957746479,0.6986301369863014
206,male,group E,bachelor's degree,standard,none,0.7534246575342466,0.4647887323943662,0.4794520547945205
207,male,group E,high school,standard,completed,0.7397260273972602,0.7183098591549296,0.6712328767123288
208,female,group B,some college,free/reduced,none,0.6438356164383562,0.7323943661971831,0.6712328767123288
209,female,group B,some college,free/reduced,none,0.4246575342465753,0.4507042253521127,0.5342465753424658
210,male,group D,some high school,free/reduced,completed,0.726027397260274,0.704225352112676,0.7123287671232876
212,female,group C,high school,free/reduced,none,0.2054794520547945,0.4647887323943662,0.4520547945205479
213,male,group C,associate's degree,free/reduced,completed,0.4520547945205479,0.30985915492957744,0.3972602739726027
214,male,group E,high school,standard,completed,0.821917808219178,0.8732394366197183,0.7397260273972602
215,male,group B,some high school,standard,completed,0.7808219178082192,0.7605633802816901,0.6575342465753424
216,female,group E,associate's degree,free/reduced,completed,0.7671232876712328,0.8028169014084507,0.8356164383561644
217,female,group C,high school,free/reduced,none,0.0958904109589041,0.18309859154929578,0.1643835616438356
218,male,group B,high school,free/reduced,none,0.5342465753424658,0.676056338028169,0.589041095890411
219,male,group B,some high school,standard,completed,0.4657534246575342,0.38028169014084506,0.3972602739726027
220,female,group D,high school,standard,completed,0.3972602739726027,0.5492957746478874,0.6438356164383562
221,male,group B,associate's degree,standard,none,0.821917808219178,0.7887323943661971,0.6301369863013698
222,female,group C,some high school,free/reduced,none,0.3835616438356164,0.5070422535211268,0.4794520547945205
223,male,group D,some high school,standard,none,0.8082191780821918,0.7183098591549296,0.6575342465753424
224,female,group B,associate's degree,standard,completed,0.3424657534246575,0.5211267605633803,0.6301369863013698
225,female,group E,master's degree,free/reduced,none,0.2465753424657534,0.38028169014084506,0.3698630136986301
226,female,group C,some college,standard,none,0.6164383561643836,0.6056338028169014,0.6027397260273972
227,male,group D,high school,standard,none,0.410958904109589,0.29577464788732394,0.3698630136986301
228,male,group A,some high school,free/reduced,none,0.5616438356164384,0.6056338028169014,0.5068493150684932
229,female,group C,some college,standard,completed,0.8356164383561644,0.9295774647887324,0.9178082191780822
230,male,group D,some college,standard,none,0.6712328767123288,0.49295774647887325,0.5342465753424658
231,male,group C,associate's degree,standard,none,0.2602739726027397,0.19718309859154928,0.2054794520547945
232,female,group B,bachelor's degree,standard,none,0.547945205479452,0.8028169014084507,0.7671232876712328
233,male,group E,some high school,standard,none,0.8904109589041096,0.8169014084507042,0.6986301369863014
234,male,group C,bachelor's degree,standard,completed,0.7671232876712328,0.7464788732394366,0.7808219178082192
235,male,group D,associate's degree,standard,none,0.726027397260274,0.647887323943662,0.684931506849315
236,male,group D,bachelor's degree,free/reduced,none,0.4931506849315068,0.5211267605633803,0.547945205479452
237,female,group D,some high school,standard,completed,0.5068493150684932,0.43661971830985913,0.6438356164383562
238,male,group B,some college,standard,none,0.3698630136986301,0.323943661971831,0.3287671232876712
239,male,group C,associate's degree,standard,none,0.7808219178082192,0.7183098591549296,0.726027397260274
240,male,group D,high school,free/reduced,completed,0.6301369863013698,0.5492957746478874,0.5342465753424658
241,female,group E,bachelor's degree,standard,none,0.726027397260274,0.7605633802816901,0.7671232876712328
242,female,group D,high school,standard,none,0.3972602739726027,0.323943661971831,0.3835616438356164
243,male,group E,some college,standard,none,0.4383561643835616,0.30985915492957744,0.2191780821917808
244,male,group D,some high school,standard,none,0.6575342465753424,0.6338028169014085,0.5753424657534246
245,male,group C,associate's degree,standard,none,0.7945205479452054,0.6619718309859155,0.6027397260273972
246,male,group E,associate's degree,standard,none,0.8493150684931506,0.6619718309859155,0.6438356164383562
247,female,group B,high school,standard,completed,0.4246575342465753,0.5774647887323944,0.5616438356164384
248,female,group B,high school,standard,none,0.5205479452054794,0.49295774647887325,0.4794520547945205
249,male,group C,high school,standard,none,0.5616438356164384,0.43661971830985913,0.3561643835616438
250,male,group A,some high school,standard,completed,0.273972602739726,0.28169014084507044,0.3013698630136986
251,female,group D,some college,free/reduced,none,0.6027397260273972,0.7605633802816901,0.7671232876712328
252,female,group B,some high school,standard,completed,0.4520547945205479,0.5774647887323944,0.589041095890411
253,male,group D,master's degree,standard,none,0.726027397260274,0.7183098591549296,0.6164383561643836
254,male,group D,high school,standard,none,0.3698630136986301,0.323943661971831,0.3424657534246575
255,female,group E,some college,standard,none,0.4794520547945205,0.6197183098591549,0.589041095890411
256,female,group C,associate's degree,free/reduced,none,0.5068493150684932,0.6197183098591549,0.5616438356164384
257,male,group C,associate's degree,standard,completed,0.6986301369863014,0.676056338028169,0.684931506849315
258,female,group B,some college,standard,none,0.589041095890411,0.647887323943662,0.6986301369863014
259,female,group C,master's degree,free/reduced,completed,0.5205479452054794,0.7323943661971831,0.7397260273972602
260,female,group C,some high school,free/reduced,completed,0.5068493150684932,0.704225352112676,0.684931506849315
261,male,group C,some college,standard,completed,0.7123287671232876,0.704225352112676,0.6986301369863014
262,female,group C,some high school,free/reduced,none,0.2328767123287671,0.29577464788732394,0.3287671232876712
263,female,group E,high school,standard,none,0.9863013698630136,0.9014084507042254,0.863013698630137
264,male,group D,high school,standard,none,0.6712328767123288,0.6197183098591549,0.5616438356164384
265,male,group D,some high school,free/reduced,none,0.4383561643835616,0.18309859154929578,0.1917808219178082
266,female,group C,bachelor's degree,standard,none,0.4931506849315068,0.647887323943662,0.7397260273972602
267,female,group D,high school,standard,none,0.5753424657534246,0.6056338028169014,0.684931506849315
268,female,group D,associate's degree,standard,completed,0.8356164383561644,0.8873239436619719,0.9315068493150684
269,female,group E,some college,free/reduced,none,0.6027397260273972,0.6619718309859155,0.589041095890411
270,male,group C,bachelor's degree,standard,none,0.5753424657534246,0.4788732394366197,0.4657534246575342
271,male,group C,some college,standard,none,0.4246575342465753,0.28169014084507044,0.2054794520547945
272,female,group D,associate's degree,free/reduced,none,0.273972602739726,0.3380281690140845,0.4246575342465753
273,female,group D,some college,standard,none,0.5205479452054794,0.5774647887323944,0.6027397260273972
274,male,group B,some college,standard,completed,0.8356164383561644,0.7887323943661971,0.6712328767123288
275,male,group C,bachelor's degree,standard,none,0.7671232876712328,0.6901408450704225,0.6301369863013698
276,female,group C,some high school,standard,completed,0.7945205479452054,0.8873239436619719,0.9041095890410958
277,female,group E,high school,standard,completed,0.4383561643835616,0.4788732394366197,0.6575342465753424
278,female,group C,some high school,free/reduced,none,0.5205479452054794,0.8028169014084507,0.726027397260274
279,male,group B,bachelor's degree,free/reduced,none,0.6301369863013698,0.38028169014084506,0.410958904109589
280,male,group D,high school,standard,none,0.3561643835616438,0.323943661971831,0.2054794520547945
281,male,group D,high school,standard,none,0.2465753424657534,0.2676056338028169,0.2602739726027397
282,female,group D,bachelor's degree,free/reduced,none,0.6301369863013698,0.704225352112676,0.7808219178082192
283,female,group D,some college,free/reduced,completed,0.589041095890411,0.6901408450704225,0.6986301369863014
284,female,group B,some high school,standard,none,0.136986301369863,0.23943661971830985,0.2602739726027397
285,male,group B,associate's degree,standard,completed,0.7397260273972602,0.7464788732394366,0.7534246575342466
286,male,group E,associate's degree,standard,completed,0.958904109589041,0.7464788732394366,0.8356164383561644
287,female,group B,some high school,standard,none,0.547945205479452,0.8450704225352113,0.7534246575342466
288,male,group B,bachelor's degree,free/reduced,none,0.8356164383561644,0.647887323943662,0.6712328767123288
289,male,group E,some high school,standard,completed,0.684931506849315,0.6619718309859155,0.684931506849315
290,male,group C,associate's degree,standard,none,0.6712328767123288,0.5774647887323944,0.5616438356164384
291,male,group D,some high school,standard,none,0.8082191780821918,0.6197183098591549,0.589041095890411
292,male,group C,some high school,standard,completed,0.4931506849315068,0.43661971830985913,0.410958904109589
293,female,group E,bachelor's degree,standard,none,0.5205479452054794,0.6197183098591549,0.6575342465753424
294,male,group D,high school,free/reduced,completed,0.6986301369863014,0.676056338028169,0.726027397260274
295,male,group B,associate's degree,free/reduced,none,0.547945205479452,0.4647887323943662,0.4520547945205479
296,male,group A,some high school,standard,completed,0.2602739726027397,0.16901408450704225,0.2191780821917808
297,male,group E,associate's degree,standard,completed,0.6027397260273972,0.6338028169014085,0.5616438356164384
298,male,group C,high school,free/reduced,completed,0.1780821917808219,0.23943661971830985,0.3150684931506849
299,male,group D,associate's degree,free/reduced,none,0.863013698630137,0.8169014084507042,0.6575342465753424
300,male,group A,some college,free/reduced,completed,0.7397260273972602,0.6901408450704225,0.7397260273972602
301,male,group D,some high school,free/reduced,none,0.3972602739726027,0.352112676056338,0.3424657534246575
302,female,group C,associate's degree,standard,completed,0.547945205479452,0.7746478873239436,0.7397260273972602
303,male,group B,associate's degree,standard,none,0.726027397260274,0.6619718309859155,0.5068493150684932
304,female,group C,associate's degree,standard,completed,0.6438356164383562,0.647887323943662,0.7671232876712328
305,male,group A,some college,standard,none,0.5753424657534246,0.5352112676056338,0.5753424657534246
306,male,group E,some college,standard,completed,0.9863013698630136,0.8169014084507042,0.7397260273972602
307,male,group C,some high school,standard,none,0.3287671232876712,0.323943661971831,0.2328767123287671
308,female,group B,associate's degree,free/reduced,none,0.3561643835616438,0.5915492957746479,0.547945205479452
309,female,group D,high school,free/reduced,none,0.3013698630136986,0.39436619718309857,0.3424657534246575
310,female,group B,associate's degree,standard,none,0.6301369863013698,0.6619718309859155,0.726027397260274
311,male,group B,bachelor's degree,standard,none,0.5342465753424658,0.43661971830985913,0.410958904109589
312,male,group D,bachelor's degree,standard,completed,0.547945205479452,0.4507042253521127,0.5616438356164384
313,female,group C,associate's degree,free/reduced,completed,0.5616438356164384,0.5352112676056338,0.5753424657534246
314,female,group C,bachelor's degree,standard,completed,0.4383561643835616,0.49295774647887325,0.6575342465753424
315,male,group C,high school,standard,none,0.6027397260273972,0.5211267605633803,0.5205479452054794
316,female,group D,master's degree,standard,completed,0.684931506849315,0.7464788732394366,0.8767123287671232
317,male,group C,associate's degree,standard,none,0.7671232876712328,0.6056338028169014,0.6986301369863014
318,male,group B,bachelor's degree,standard,none,0.4931506849315068,0.5915492957746479,0.5753424657534246
319,female,group D,associate's degree,free/reduced,none,0.3972602739726027,0.5070422535211268,0.4931506849315068
320,female,group C,high school,free/reduced,completed,0.547945205479452,0.704225352112676,0.7808219178082192
321,female,group E,high school,standard,none,0.6575342465753424,0.8028169014084507,0.7123287671232876
322,female,group C,some college,standard,none,0.6027397260273972,0.7323943661971831,0.726027397260274
323,female,group C,some high school,free/reduced,none,0.2191780821917808,0.3380281690140845,0.3561643835616438
324,female,group C,high school,free/reduced,none,0.1917808219178082,0.23943661971830985,0.2191780821917808
325,female,group C,some college,standard,none,0.7534246575342466,0.8591549295774648,0.9178082191780822
326,male,group C,some college,standard,none,0.4657534246575342,0.4507042253521127,0.4794520547945205
328,male,group C,associate's degree,standard,completed,0.7534246575342466,0.647887323943662,0.684931506849315
329,female,group B,some high school,standard,none,0.1917808219178082,0.36619718309859156,0.3287671232876712
330,male,group C,high school,standard,none,0.6027397260273972,0.43661971830985913,0.4657534246575342
331,male,group C,associate's degree,standard,none,0.273972602739726,0.11267605633802817,0.1095890410958904
332,male,group E,associate's degree,standard,completed,0.4794520547945205,0.38028169014084506,0.3561643835616438
333,male,group B,associate's degree,standard,none,0.863013698630137,0.6901408450704225,0.7397260273972602
334,female,group C,bachelor's degree,standard,none,0.7671232876712328,0.9014084507042254,0.9315068493150684
335,female,group B,some college,free/reduced,none,0.4657534246575342,0.5492957746478874,0.5342465753424658
336,male,group D,some high school,standard,completed,0.6712328767123288,0.5774647887323944,0.5753424657534246
337,male,group C,associate's degree,standard,none,0.3013698630136986,0.30985915492957744,0.2191780821917808
339,female,group D,some high school,free/reduced,completed,0.1095890410958904,0.36619718309859156,0.4520547945205479
